Count - point,direction,point,,,,,,,,,,,,,,,,,,,,,,
,c,,,,cc,,,,Total Result,c,c,c,c,cc,cc,cc,cc,totals,totals,totals,totals,totals,totals,
country,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,Left Bottom,Left Top,Right Bottom,Right Top,c,cc,country
BH,3,17,1,3,,24,,11,59,5.08%,28.81%,1.69%,5.08%,0.00%,40.68%,0.00%,18.64%,5.08%,69.49%,1.69%,23.73%,40.68%,59.32%,BH
MA,5,17,,1,,25,,10,58,8.62%,29.31%,0.00%,1.72%,0.00%,43.10%,0.00%,17.24%,8.62%,72.41%,0.00%,18.97%,39.66%,60.34%,MA
PR,2,15,,2,,36,,3,58,3.45%,25.86%,0.00%,3.45%,0.00%,62.07%,0.00%,5.17%,3.45%,87.93%,0.00%,8.62%,32.76%,67.24%,PR
MK,6,10,1,1,1,37,,,56,10.71%,17.86%,1.79%,1.79%,1.79%,66.07%,0.00%,0.00%,12.50%,83.93%,1.79%,1.79%,32.14%,67.86%,MK
GE,8,5,1,4,,34,,,52,15.38%,9.62%,1.92%,7.69%,0.00%,65.38%,0.00%,0.00%,15.38%,75.00%,1.92%,7.69%,34.62%,65.38%,GE
MD,3,3,,,1,38,,3,48,6.25%,6.25%,0.00%,0.00%,2.08%,79.17%,0.00%,6.25%,8.33%,85.42%,0.00%,6.25%,12.50%,87.50%,MD
BD,2,17,,,,21,,5,45,4.44%,37.78%,0.00%,0.00%,0.00%,46.67%,0.00%,11.11%,4.44%,84.44%,0.00%,11.11%,42.22%,57.78%,BD
VE,4,6,,,1,34,,,45,8.89%,13.33%,0.00%,0.00%,2.22%,75.56%,0.00%,0.00%,11.11%,88.89%,0.00%,0.00%,22.22%,77.78%,VE
OM,,12,,1,1,14,,15,43,0.00%,27.91%,0.00%,2.33%,2.33%,32.56%,0.00%,34.88%,2.33%,60.47%,0.00%,37.21%,30.23%,69.77%,OM
IS,4,10,,,,25,,2,41,9.76%,24.39%,0.00%,0.00%,0.00%,60.98%,0.00%,4.88%,9.76%,85.37%,0.00%,4.88%,34.15%,65.85%,IS
LB,4,9,,2,,20,,5,40,10.00%,22.50%,0.00%,5.00%,0.00%,50.00%,0.00%,12.50%,10.00%,72.50%,0.00%,17.50%,37.50%,62.50%,LB
BN,2,8,,,,23,,3,36,5.56%,22.22%,0.00%,0.00%,0.00%,63.89%,0.00%,8.33%,5.56%,86.11%,0.00%,8.33%,27.78%,72.22%,BN
EC,4,4,,,,23,,4,35,11.43%,11.43%,0.00%,0.00%,0.00%,65.71%,0.00%,11.43%,11.43%,77.14%,0.00%,11.43%,22.86%,77.14%,EC
MT,1,6,,,,25,,,32,3.13%,18.75%,0.00%,0.00%,0.00%,78.13%,0.00%,0.00%,3.13%,96.88%,0.00%,0.00%,21.88%,78.13%,MT
